Index,Logfilename,Start,Stop,Completed,C,W,batch,Datafilename,File Checked,Line Number Check,PBS File Set,Jobfilename,Argument
0,logs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B1.log,1,11,10,0,10,1,data/mbl_100x100_W10_C0_TU1_TD1_N90_BS15_B1_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B1.pbs,--start 11
1,logs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B2.log,16,26,10,0,10,2,data/mbl_100x100_W10_C0_TU1_TD1_N90_BS15_B2_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B2.pbs,--start 26
2,logs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B3.log,31,40,9,0,10,3,data/mbl_100x100_W10_C0_TU1_TD1_N90_BS15_B3_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B3.pbs,--start 40
3,logs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B4.log,46,57,11,0,10,4,data/mbl_100x100_W10_C0_TU1_TD1_N90_BS15_B4_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.0_TU1.0_TD1.0_N90_BS15_B4.pbs,--start 57
4,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B1.log,1,8,7,0.3,10,1,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B1_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B1.pbs,--start 8
5,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B2.log,16,24,8,0.3,10,2,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B2_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B2.pbs,--start 24
6,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B3.log,31,38,7,0.3,10,3,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B3_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B3.pbs,--start 38
7,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B4.log,46,54,8,0.3,10,4,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B4_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B4.pbs,--start 54
8,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B5.log,61,69,8,0.3,10,5,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B5_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B5.pbs,--start 69
9,logs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B6.log,76,84,8,0.3,10,6,data/mbl_100x100_W10_C0.3_TU1_TD1_N90_BS15_B6_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W10.0_C0.3_TU1.0_TD1.0_N90_BS15_B6.pbs,--start 84
10,logs/mbl_100x100_W11.0_C0.0_TU1.0_TD1.0_N90_BS15_B5.log,61,71,10,0,11,5,data/mbl_100x100_W11_C0_TU1_TD1_N90_BS15_B5_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W11.0_C0.0_TU1.0_TD1.0_N90_BS15_B5.pbs,--start 71
11,logs/mbl_100x100_W11.0_C0.0_TU1.0_TD1.0_N90_BS15_B6.log,76,86,10,0,11,6,data/mbl_100x100_W11_C0_TU1_TD1_N90_BS15_B6_greenfuncsq.dat,No,Yes,Yes,jobs/mbl_100x100_W11.0_C0.0_TU1.0_TD1.0_N90_BS15_B6.pbs,--start 86
